,ticker,open,close,volume
158,601919.SS,48.0,48.0,48.0
159,0817.HK,50.0,50.0,50.0
160,Z74.SI,52.0,52.0,52.0
161,600518.SS,48.0,48.0,48.0
162,IBE.MC,52.0,52.0,52.0
163,601991.SS,48.0,48.0,48.0
164,TCG.L,52.0,52.0,52.0
165,600809.SS,48.0,48.0,48.0
166,000963.SZ,48.0,48.0,48.0
167,002252.SZ,48.0,48.0,48.0
168,900040.KQ,1.0,1.0,1.0
169,1378.HK,50.0,50.0,50.0
170,600688.SS,48.0,48.0,48.0
171,601108.SS,48.0,48.0,48.0
172,000768.SZ,48.0,48.0,48.0
173,600851.SS,48.0,48.0,48.0
174,002146.SZ,48.0,48.0,48.0
175,601377.SS,48.0,48.0,48.0
176,300033.SZ,48.0,48.0,48.0
177,600928.SS,1.0,1.0,1.0
178,300003.SZ,48.0,48.0,48.0
179,002008.SZ,48.0,48.0,48.0
180,KMI,50.0,50.0,50.0
181,601607.SS,48.0,48.0,48.0
182,002602.SZ,48.0,48.0,48.0
183,002939.SZ,45.0,45.0,45.0
184,057680.KQ,1.0,1.0,1.0
185,6176.TW,44.0,44.0,44.0
186,600926.SS,48.0,48.0,48.0
187,INFY,50.0,50.0,50.0
188,002311.SZ,48.0,48.0,48.0
189,300124.SZ,48.0,48.0,48.0
190,IMP.JO,52.0,52.0,52.0
191,002202.SZ,48.0,48.0,48.0
192,002466.SZ,48.0,48.0,48.0
193,601298.SS,1.0,1.0,1.0
194,600637.SS,48.0,48.0,48.0
195,600637.SS,48.0,48.0,48.0
196,600398.SS,48.0,48.0,48.0
197,MU,50.0,50.0,50.0
198,000898.SZ,48.0,48.0,48.0
199,3808.HK,50.0,50.0,50.0
200,INGA.AS,52.0,52.0,52.0
201,600600.SS,48.0,48.0,48.0
202,002600.SZ,48.0,48.0,48.0
203,600027.SS,48.0,48.0,48.0
204,600085.SS,48.0,48.0,48.0
205,0884.HK,50.0,50.0,50.0
206,600487.SS,48.0,48.0,48.0
207,600516.SS,48.0,48.0,48.0
208,0981.HK,50.0,50.0,50.0
209,600674.SS,48.0,48.0,48.0
210,002007.SZ,48.0,48.0,48.0
211,6456.TW,44.0,44.0,44.0
212,600816.SS,48.0,48.0,48.0
213,002739.SZ,48.0,48.0,48.0
214,600895.SS,48.0,48.0,48.0
215,600111.SS,48.0,48.0,48.0
216,4293.T,26.0,26.0,26.0
217,000783.SZ,48.0,48.0,48.0
218,600619.SS,48.0,48.0,48.0
219,002001.SZ,48.0,48.0,48.0
220,600362.SS,48.0,48.0,48.0
221,JD,50.0,50.0,50.0
222,REGINN.IC,25.0,25.0,25.0
223,600188.SS,48.0,48.0,48.0
224,600297.SS,48.0,48.0,48.0
225,002456.SZ,48.0,48.0,48.0
226,601598.SS,1.0,1.0,1.0
227,LHC.JO,52.0,52.0,52.0
228,002945.SZ,1.0,1.0,1.0
229,002673.SZ,48.0,48.0,48.0
230,3037.TW,44.0,44.0,44.0
231,TPIPL.BK,51.0,51.0,51.0
232,JBSS3.SA,49.0,49.0,49.0
233,TEF.MC,52.0,52.0,52.0
234,300408.SZ,48.0,48.0,48.0
235,TLS.AX,52.0,52.0,52.0
236,2812.TW,44.0,44.0,44.0
237,1060.HK,50.0,50.0,50.0
238,KHC,50.0,50.0,50.0
239,AEG.JO,52.0,52.0,52.0
240,OGKB.ME,49.0,49.0,49.0
241,000703.SZ,48.0,48.0,48.0
242,2337.TW,44.0,44.0,44.0
243,600390.SS,48.0,48.0,48.0
244,GARAN.IS,52.0,52.0,52.0
245,ISP.MI,52.0,52.0,52.0
246,603019.SS,48.0,48.0,48.0
247,601990.SS,48.0,48.0,48.0
248,600176.SS,48.0,48.0,48.0
249,601577.SS,48.0,48.0,48.0
250,002157.SZ,48.0,48.0,48.0
251,ESSO-R.BK,51.0,51.0,51.0
252,601878.SS,48.0,48.0,48.0
253,601198.SS,48.0,48.0,48.0
254,601828.SS,48.0,48.0,48.0
255,ESSO.BK,51.0,51.0,51.0
256,600352.SS,48.0,48.0,48.0
257,600498.SS,48.0,48.0,48.0
258,AMAT,50.0,50.0,50.0
259,000709.SZ,48.0,48.0,48.0
260,600100.SS,48.0,48.0,48.0
261,SUZLON.NS,50.0,50.0,50.0
262,002422.SZ,48.0,48.0,48.0
263,000046.SZ,48.0,48.0,48.0
264,1150.SR,38.0,38.0,38.0
265,ORA.PA,52.0,52.0,52.0
266,LUMI.TA,48.0,48.0,48.0
267,002608.SZ,48.0,48.0,48.0
268,ICEAIR.IC,25.0,25.0,25.0
269,IBN,50.0,50.0,50.0
270,ENRU.ME,49.0,49.0,49.0
271,SIMINN.IC,25.0,25.0,25.0
272,1910.HK,50.0,50.0,50.0
273,601216.SS,48.0,48.0,48.0
274,600871.SS,48.0,48.0,48.0
275,2689.HK,50.0,50.0,50.0
276,601992.SS,48.0,48.0,48.0
277,600675.SS,48.0,48.0,48.0
278,ALSEA.MX,51.0,51.0,51.0
279,3406.TW,44.0,44.0,44.0
280,BBVA.MC,52.0,52.0,52.0
281,002050.SZ,48.0,48.0,48.0
282,002468.SZ,48.0,48.0,48.0
283,600535.SS,48.0,48.0,48.0
284,0268.HK,50.0,50.0,50.0
285,NOK,50.0,50.0,50.0
286,DAL,50.0,50.0,50.0
287,000728.SZ,48.0,48.0,48.0
288,600655.SS,48.0,48.0,48.0
289,STEC.BK,51.0,51.0,51.0
290,300450.SZ,48.0,48.0,48.0
291,000627.SZ,48.0,48.0,48.0
292,AKBNK.IS,52.0,52.0,52.0
293,300433.SZ,48.0,48.0,48.0
294,600170.SS,48.0,48.0,48.0
295,600841.SS,48.0,48.0,48.0
296,TGKA.ME,49.0,49.0,49.0
297,002299.SZ,48.0,48.0,48.0
298,1157.HK,50.0,50.0,50.0
299,000425.SZ,48.0,48.0,48.0
300,F,50.0,50.0,50.0
301,000050.SZ,48.0,48.0,48.0
302,300017.SZ,48.0,48.0,48.0
303,EBAY,50.0,50.0,50.0
304,ATVI,50.0,50.0,50.0
305,000540.SZ,48.0,48.0,48.0
306,000786.SZ,48.0,48.0,48.0
307,600068.SS,48.0,48.0,48.0
308,2357.HK,50.0,50.0,50.0
309,600208.SS,48.0,48.0,48.0
310,000961.SZ,48.0,48.0,48.0
311,002410.SZ,48.0,48.0,48.0
312,300142.SZ,48.0,48.0,48.0
313,600219.SS,48.0,48.0,48.0
314,SQ,50.0,50.0,50.0
315,0694.HK,50.0,50.0,50.0
316,600299.SS,48.0,48.0,48.0
317,000671.SZ,48.0,48.0,48.0
318,603799.SS,48.0,48.0,48.0
319,601838.SS,48.0,48.0,48.0
320,300146.SZ,48.0,48.0,48.0
321,603369.SS,48.0,48.0,48.0
322,EREGL.IS,52.0,52.0,52.0
323,002241.SZ,48.0,48.0,48.0
324,600977.SS,48.0,48.0,48.0
325,300144.SZ,48.0,48.0,48.0
326,002371.SZ,48.0,48.0,48.0
327,000656.SZ,48.0,48.0,48.0
328,2383.TW,44.0,44.0,44.0
329,QH.BK,51.0,51.0,51.0
330,002460.SZ,48.0,48.0,48.0
331,600822.SS,48.0,48.0,48.0
332,8789.T,53.0,53.0,53.0
333,600818.SS,48.0,48.0,48.0
334,000977.SZ,48.0,48.0,48.0
335,601212.SS,48.0,48.0,48.0
336,ACA.PA,52.0,52.0,52.0
337,601231.SS,48.0,48.0,48.0
338,600089.SS,48.0,48.0,48.0
339,EIK.IC,25.0,25.0,25.0
340,002555.SZ,48.0,48.0,48.0
341,600109.SS,48.0,48.0,48.0
342,300761.SZ,1.0,1.0,1.0
343,000423.SZ,48.0,48.0,48.0
344,000629.SZ,48.0,48.0,48.0
345,RPOWER.NS,50.0,50.0,50.0
346,600867.SS,48.0,48.0,48.0
347,600998.SS,48.0,48.0,48.0
348,600522.SS,48.0,48.0,48.0
349,NOKIA.HE,52.0,52.0,52.0
350,601117.SS,48.0,48.0,48.0
351,2498.TW,44.0,44.0,44.0
352,300024.SZ,48.0,48.0,48.0
353,600733.SS,48.0,48.0,48.0
354,600808.SS,48.0,48.0,48.0
355,300070.SZ,48.0,48.0,48.0
356,000418.SZ,48.0,48.0,48.0
357,002926.SZ,48.0,48.0,48.0
358,MRKP.ME,49.0,49.0,49.0
359,600118.SS,48.0,48.0,48.0
360,601228.SS,48.0,48.0,48.0
361,601997.SS,48.0,48.0,48.0
362,002601.SZ,48.0,48.0,48.0
363,HPQ,50.0,50.0,50.0
364,2449.TW,44.0,44.0,44.0
365,600177.SS,48.0,48.0,48.0
366,601100.SS,48.0,48.0,48.0
367,600369.SS,48.0,48.0,48.0
368,603000.SS,48.0,48.0,48.0
369,600372.SS,48.0,48.0,48.0
370,002563.SZ,48.0,48.0,48.0
371,002271.SZ,48.0,48.0,48.0
372,000625.SZ,48.0,48.0,48.0
373,000413.SZ,48.0,48.0,48.0
374,EA,50.0,50.0,50.0
375,600066.SS,48.0,48.0,48.0
376,000825.SZ,48.0,48.0,48.0
377,600256.SS,48.0,48.0,48.0
378,600613.SS,48.0,48.0,48.0
379,DG,50.0,50.0,50.0
380,1795.TWO,44.0,44.0,44.0
381,002081.SZ,48.0,48.0,48.0
382,002405.SZ,48.0,48.0,48.0
383,600489.SS,48.0,48.0,48.0
384,SIRI,50.0,50.0,50.0
385,CIEL3.SA,49.0,49.0,49.0
386,000157.SZ,48.0,48.0,48.0
387,601872.SS,48.0,48.0,48.0
388,300136.SZ,48.0,48.0,48.0
389,000039.SZ,48.0,48.0,48.0
390,600566.SS,48.0,48.0,48.0
391,300383.SZ,48.0,48.0,48.0
392,0968.HK,50.0,50.0,50.0
393,MRKS.ME,49.0,49.0,49.0
394,601555.SS,48.0,48.0,48.0
395,000860.SZ,48.0,48.0,48.0
396,GIS,50.0,50.0,50.0
397,LUV,50.0,50.0,50.0
398,000415.SZ,48.0,48.0,48.0
399,PDD,50.0,50.0,50.0
400,601866.SS,48.0,48.0,48.0
401,300601.SZ,48.0,48.0,48.0
402,002129.SZ,48.0,48.0,48.0
403,600157.SS,48.0,48.0,48.0
404,000630.SZ,48.0,48.0,48.0
405,601099.SS,48.0,48.0,48.0
406,600004.SS,48.0,48.0,48.0
407,ISCTR.IS,52.0,52.0,52.0
408,002110.SZ,48.0,48.0,48.0
409,002936.SZ,48.0,48.0,48.0
410,600528.SS,48.0,48.0,48.0
411,2448.TW,44.0,44.0,44.0
412,1233.HK,50.0,50.0,50.0
413,002065.SZ,48.0,48.0,48.0
414,000883.SZ,48.0,48.0,48.0
415,600339.SS,48.0,48.0,48.0
416,002948.SZ,1.0,1.0,1.0
417,CCRO3.SA,49.0,49.0,49.0
418,600497.SS,48.0,48.0,48.0
419,002384.SZ,48.0,48.0,48.0
420,002797.SZ,48.0,48.0,48.0
421,002268.SZ,48.0,48.0,48.0
422,300741.SZ,48.0,48.0,48.0
423,4596.T,53.0,53.0,53.0
424,600959.SS,48.0,48.0,48.0
425,600875.SS,48.0,48.0,48.0
426,002506.SZ,48.0,48.0,48.0
427,002127.SZ,48.0,48.0,48.0
428,300759.SZ,1.0,1.0,1.0
429,ENQ.L,52.0,52.0,52.0
430,ASELS.IS,52.0,52.0,52.0
431,601106.SS,48.0,48.0,48.0
432,600699.SS,48.0,48.0,48.0
433,002013.SZ,48.0,48.0,48.0
434,1208.HK,50.0,50.0,50.0
435,UCG.MI,52.0,52.0,52.0
436,0958.HK,50.0,50.0,50.0
437,603858.SS,48.0,48.0,48.0
438,600673.SS,48.0,48.0,48.0
439,600583.SS,48.0,48.0,48.0
440,600642.SS,48.0,48.0,48.0
441,002508.SZ,48.0,48.0,48.0
442,2313.TW,44.0,44.0,44.0
443,002625.SZ,48.0,48.0,48.0
444,002010.SZ,48.0,48.0,48.0
445,S,50.0,50.0,50.0
446,002373.SZ,48.0,48.0,48.0
447,002294.SZ,48.0,48.0,48.0
448,300072.SZ,48.0,48.0,48.0
449,600376.SS,48.0,48.0,48.0
450,2331.HK,50.0,50.0,50.0
451,0570.HK,50.0,50.0,50.0
452,054220.KQ,1.0,1.0,1.0
453,000027.SZ,48.0,48.0,48.0
454,300251.SZ,48.0,48.0,48.0
455,002670.SZ,48.0,48.0,48.0
456,3576.TW,44.0,44.0,44.0
457,G.MI,52.0,52.0,52.0
458,600415.SS,48.0,48.0,48.0
459,600909.SS,48.0,48.0,48.0
460,002439.SZ,48.0,48.0,48.0
461,VIS.IC,25.0,25.0,25.0
462,HAL,50.0,50.0,50.0
463,1813.HK,50.0,50.0,50.0
464,6865.HK,50.0,50.0,50.0
465,600153.SS,48.0,48.0,48.0
466,600183.SS,48.0,48.0,48.0
467,600150.SS,48.0,48.0,48.0
468,000839.SZ,48.0,48.0,48.0
469,NTGY.MC,52.0,52.0,52.0
470,600536.SS,48.0,48.0,48.0
471,600704.SS,48.0,48.0,48.0
472,002049.SZ,48.0,48.0,48.0
473,000402.SZ,48.0,48.0,48.0
474,600426.SS,48.0,48.0,48.0
475,3888.HK,50.0,50.0,50.0
476,603885.SS,48.0,48.0,48.0
477,002500.SZ,48.0,48.0,48.0
478,600515.SS,48.0,48.0,48.0
479,6213.TW,44.0,44.0,44.0
480,000301.SZ,48.0,48.0,48.0
481,601699.SS,48.0,48.0,48.0
482,MPHC.QA,48.0,48.0,48.0
483,FDC,50.0,50.0,50.0
484,1316.HK,50.0,50.0,50.0
485,1909.TW,44.0,44.0,44.0
486,TWTR,50.0,50.0,50.0
487,HCC.NS,50.0,50.0,50.0
488,GGBR4.SA,49.0,49.0,49.0
489,300001.SZ,48.0,48.0,48.0
490,000750.SZ,48.0,48.0,48.0
